+=====================================================+===================+==================================================================================+
| Launch Setup Clock                                  | Launch Hold Clock | Pin                                                                              |
+=====================================================+===================+==================================================================================+
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2213]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2162]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2173]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2215]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2245]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2243]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2233]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2179]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2237]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2169]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2157]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2159]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2047]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[967]/D  |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2221]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2091]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[979]/D  |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[975]/D  |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2235]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2075]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[3] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2227]/D |
| msys_i/serial_adc_pwm_top_0/U0/fsm/CURRENT_STATE[1] | clk_main_100meg   | msys_i/serial_adc_pwm_top_0/U0/datapath/steering_peripheral/shiftreg_reg[2009]/D |
